Stock_Name,Stock_Species,Stock_Abundance,Forecasting_Year,Run_Year,Brood_Year,Age_Class,Average_Run
Bonneville Lock & Dam,Sockeye,Run,2026,1985,1982,3,1461
NA,NA,NA,NA,1985,1981,4,151004
NA,NA,NA,NA,1985,1980,5,13875
NA,NA,NA,NA,1986,1983,3,24062
NA,NA,NA,NA,1986,1982,4,22438
NA,NA,NA,NA,1986,1981,5,11465
NA,NA,NA,NA,1987,1984,3,22999
NA,NA,NA,NA,1987,1983,4,78578
NA,NA,NA,NA,1987,1982,5,15416
NA,NA,NA,NA,1988,1985,3,547
NA,NA,NA,NA,1988,1984,4,60523
NA,NA,NA,NA,1988,1983,5,18643
NA,NA,NA,NA,1989,1986,3,298
NA,NA,NA,NA,1989,1985,4,34516
NA,NA,NA,NA,1989,1984,5,6861
NA,NA,NA,NA,1990,1987,3,7260
NA,NA,NA,NA,1990,1986,4,29482
NA,NA,NA,NA,1990,1985,5,12682
NA,NA,NA,NA,1991,1988,3,4072
NA,NA,NA,NA,1991,1987,4,58313
NA,NA,NA,NA,1991,1986,5,14020
NA,NA,NA,NA,1992,1989,3,5170
NA,NA,NA,NA,1992,1988,4,58938
NA,NA,NA,NA,1992,1987,5,20884
NA,NA,NA,NA,1993,1990,3,1
NA,NA,NA,NA,1993,1989,4,65510
NA,NA,NA,NA,1993,1988,5,13683
NA,NA,NA,NA,1994,1991,3,440
NA,NA,NA,NA,1994,1990,4,2045
NA,NA,NA,NA,1994,1989,5,10086
NA,NA,NA,NA,1995,1992,3,2451
NA,NA,NA,NA,1995,1991,4,5624
NA,NA,NA,NA,1995,1990,5,562
NA,NA,NA,NA,1996,1993,3,534
NA,NA,NA,NA,1996,1992,4,26494
NA,NA,NA,NA,1996,1991,5,3205
NA,NA,NA,NA,1997,1994,3,315
NA,NA,NA,NA,1997,1993,4,41677
NA,NA,NA,NA,1997,1992,5,4676
NA,NA,NA,NA,1998,1995,3,2939
NA,NA,NA,NA,1998,1994,4,1567
NA,NA,NA,NA,1998,1993,5,8643
NA,NA,NA,NA,1999,1996,3,1558
NA,NA,NA,NA,1999,1995,4,14869
NA,NA,NA,NA,1999,1994,5,1319
NA,NA,NA,NA,2000,1997,3,3825
NA,NA,NA,NA,2000,1996,4,88433
NA,NA,NA,NA,2000,1995,5,1022
NA,NA,NA,NA,2001,1998,3,1171
NA,NA,NA,NA,2001,1997,4,92559
NA,NA,NA,NA,2001,1996,5,21204
NA,NA,NA,NA,2002,1999,3,458
NA,NA,NA,NA,2002,1998,4,19649
NA,NA,NA,NA,2002,1997,5,27379
NA,NA,NA,NA,2003,2000,3,9713
NA,NA,NA,NA,2003,1999,4,14732
NA,NA,NA,NA,2003,1998,5,11747
NA,NA,NA,NA,2004,2001,3,1218
NA,NA,NA,NA,2004,2000,4,120481
NA,NA,NA,NA,2004,1999,5,1356
NA,NA,NA,NA,2005,2002,3,804
NA,NA,NA,NA,2005,2001,4,65534
NA,NA,NA,NA,2005,2000,5,6217
NA,NA,NA,NA,2006,2003,3,201
NA,NA,NA,NA,2006,2002,4,24072
NA,NA,NA,NA,2006,2001,5,12689
NA,NA,NA,NA,2007,2004,3,9734
NA,NA,NA,NA,2007,2003,4,8708
NA,NA,NA,NA,2007,2002,5,5325
NA,NA,NA,NA,2008,2005,3,15260
NA,NA,NA,NA,2008,2004,4,190460
NA,NA,NA,NA,2008,2003,5,7610
NA,NA,NA,NA,2009,2006,3,18137
NA,NA,NA,NA,2009,2005,4,142510
NA,NA,NA,NA,2009,2004,5,17050
NA,NA,NA,NA,2010,2007,3,6178
NA,NA,NA,NA,2010,2006,4,359160
NA,NA,NA,NA,2010,2005,5,21186
NA,NA,NA,NA,2011,2008,3,32729
NA,NA,NA,NA,2011,2007,4,124589
NA,NA,NA,NA,2011,2006,5,28294
NA,NA,NA,NA,2012,2009,3,6637
NA,NA,NA,NA,2012,2008,4,497091
NA,NA,NA,NA,2012,2007,5,11483
NA,NA,NA,NA,2013,2010,3,32198
NA,NA,NA,NA,2013,2009,4,117334
NA,NA,NA,NA,2013,2008,5,35974
NA,NA,NA,NA,2014,2011,3,87497
NA,NA,NA,NA,2014,2010,4,518585
NA,NA,NA,NA,2014,2009,5,8094
NA,NA,NA,NA,2015,2012,3,692
NA,NA,NA,NA,2015,2011,4,479839
NA,NA,NA,NA,2015,2010,5,30175
NA,NA,NA,NA,2016,2013,3,2471
NA,NA,NA,NA,2016,2012,4,301578
NA,NA,NA,NA,2016,2011,5,38449
NA,NA,NA,NA,2017,2014,3,11400
NA,NA,NA,NA,2017,2013,4,43643
NA,NA,NA,NA,2017,2012,5,32651
NA,NA,NA,NA,2018,2015,3,696
NA,NA,NA,NA,2018,2014,4,187464
NA,NA,NA,NA,2018,2013,5,5500
NA,NA,NA,NA,2019,2016,3,34333
NA,NA,NA,NA,2019,2015,4,24972
NA,NA,NA,NA,2019,2014,5,3700
NA,NA,NA,NA,2020,2017,3,2943
NA,NA,NA,NA,2020,2016,4,337524
NA,NA,NA,NA,2020,2015,5,1273
NA,NA,NA,NA,2021,2018,3,41393
NA,NA,NA,NA,2021,2017,4,88540
NA,NA,NA,NA,2021,2016,5,21832
NA,NA,NA,NA,2022,2019,3,13084
NA,NA,NA,NA,2022,2018,4,633153
NA,NA,NA,NA,2022,2017,5,17017
NA,NA,NA,NA,2023,2020,3,30066
NA,NA,NA,NA,2023,2019,4,249810
NA,NA,NA,NA,2023,2018,5,47672
NA,NA,NA,NA,2024,2021,3,11687
NA,NA,NA,NA,2024,2020,4,715817
NA,NA,NA,NA,2024,2019,5,28205
NA,NA,NA,NA,2025,2022,3,3761
NA,NA,NA,NA,2025,2021,4,127855
NA,NA,NA,NA,2025,2020,5,34725
